OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.263	0.9	0.4	0.15	0.58633512	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0099951	0.01473974	0.7821984	0.1277572	0.9351882	0.0465224	0.14924875	0.06049934	0.10015736	0.00109473	2	0.01476979	0.03488666	0.39846698	0.37086008	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.5850105	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999555	0.01472961	0.78341628	0.12718312	0.91977998	0.04679174	0.14927365	0.0603747	0.10015755	0.00109845	2	0.01276913	0.03436107	0.3981612	0.37888447	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58360468	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999649	0.01470669	0.78209654	0.12653374	0.93213315	0.04678636	0.15007895	0.06003958	0.1001647	0.00107647	2	0.01140844	0.03358932	0.39776184	0.46159239	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58138626	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999643	0.01470506	0.78316837	0.12579343	0.93898091	0.04711901	0.14973095	0.05990432	0.10018127	0.00106478	2	0.01017167	0.0332726	0.39739644	0.52556423	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58231585	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999636	0.01471558	0.78291984	0.12606774	0.94174101	0.04696418	0.14986283	0.06003565	0.10017348	0.00106307	2	0.01100068	0.03381518	0.39747941	0.51383656	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58399588	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999582	0.01480322	0.78501547	0.12597217	0.94396856	0.04622722	0.14925737	0.05960015	0.10018472	0.00105325	2	0.0101039	0.03595403	0.39693726	0.60501708	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58316998	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999417	0.01476154	0.78513175	0.12587834	0.94624158	0.04649699	0.14902635	0.05981473	0.10020077	0.00104285	2	0.01003842	0.03501336	0.3969995	0.61077842	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58321061	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999559	0.0147725	0.78512442	0.12588347	0.93779736	0.04620455	0.14917268	0.05960844	0.10020012	0.00103662	2	0.01006939	0.03551592	0.39710167	0.63773433	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58280315	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999974	0.01487247	0.78477374	0.1257685	0.95227109	0.04511062	0.15013176	0.0585877	0.1001982	0.0010004	2	0.01003203	0.03768449	0.39662339	0.79425488	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.263	0.9	0.4	0.15	0.58273364	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00999739	0.01484886	0.78557641	0.1256943	0.94909207	0.04555488	0.14945887	0.05889996	0.10020555	0.00100713	2	0.01013062	0.03682066	0.39674711	0.76041902	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
