OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.293	0.9	0.4	0.29	0.51274695	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012153	0.00219329	0.3367251	0.6859078	0.16246074	0.09300449	0.01216717	0.01151714	0.30604972	0.00139943	2	16.23767058	0.04371191	0.16707433	0.37529419	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51294841	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012316	0.0021968	0.33193988	0.68942698	0.16889628	0.09343123	0.01217885	0.01151141	0.30735936	0.00135977	2	16.1871849	0.04366288	0.16902971	0.37656878	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51301716	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012213	0.00219615	0.33431243	0.68719589	0.16430474	0.09338762	0.0121947	0.0115095	0.30650394	0.0013841	2	16.28103495	0.04369909	0.16795886	0.37581859	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51281589	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012175	0.00219869	0.334776	0.68744701	0.16177919	0.09324055	0.01217244	0.01154723	0.30512007	0.00137635	2	16.22160096	0.0436584	0.16814923	0.37612239	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51309022	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012195	0.00219653	0.33575562	0.68585111	0.16485965	0.09307379	0.01216301	0.01157251	0.30482966	0.00139129	2	16.19003211	0.04367244	0.16790322	0.37636798	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51318559	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00011949	0.00221512	0.33539946	0.68557273	0.15387393	0.09241746	0.01207978	0.01152233	0.30140327	0.00138193	2	16.07396706	0.04357544	0.16467186	0.3756889	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51297882	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012299	0.00218789	0.33819696	0.68293763	0.17207026	0.09358943	0.01218016	0.01153379	0.30774992	0.00139392	2	16.2154542	0.04374365	0.16901765	0.37693142	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51279783	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012114	0.0022036	0.33357147	0.68864078	0.15791916	0.09306562	0.01215355	0.01153643	0.30457861	0.00136658	2	16.20217913	0.04362407	0.16723783	0.37577517	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51295527	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012207	0.00219442	0.33544404	0.68629932	0.16448567	0.09306395	0.01217558	0.011606	0.30458944	0.00139135	2	16.19913561	0.0436685	0.16870477	0.37651209	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51298012	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00012073	0.00220732	0.33506075	0.68639713	0.1584134	0.09285263	0.01212541	0.01152223	0.30362971	0.00138124	2	16.15226305	0.04362664	0.16632892	0.3758641	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.293	0.9	0.4	0.29	0.51272881	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.000122	0.0021898	0.33455063	0.68768201	0.16293275	0.09275099	0.01220194	0.01169791	0.30333659	0.00139866	2	16.21639244	0.04365358	0.16988219	0.37654766	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
