nrow= 26 
 Depth: cm; SOC/POC/MOC/MBC: mgC/cm3
ID	Property	Value
1	Depth	100
2	Sand	0.32
3	Clay	0.08
4	CN_MB_mean	8.52304086525
5	CN_MB_min	2
6	CN_MB_max	14
7	CN_EP1	3
8	CN_EP2	3
9	CN_EM	3
10	fQOM	0.05
11	SOC	5.80478787878788
12	POC	0.859840383191308
13	MOC	4.94494749559657
14	DOC	0.00907408333333334
15	MBC	0.0705829364392098
16	EP1	0.00013
17	EP2	0.00013
18	EM	0.00013
19	CN_SOM	8.92607141132206
20	CN_POM	7.97922617614
21	CN_MOM	10.2078081372875
22	CN_DOM	7.36270999902773
23	CN_MB	8.52304086525
24	NH4	0.00491005772727273
25	NO3	0.0128465909090909
26	rCN_LIG2LAB	2
