OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.254	0.9	0.4	0.29	0.5019477	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010171	0.00104299	0.29327712	0.79482944	0.99618533	0.09264144	0.03458428	0.0046042	0.46968751	0.00150882	2	5.39552118	0.04021051	0.01412766	0.32356593	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.50222395	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010172	0.00104322	0.29272251	0.79506221	0.99614339	0.09308998	0.03460673	0.00460904	0.47042581	0.00151067	2	5.38606564	0.04022101	0.0139303	0.32234496	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50398444	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010162	0.00103741	0.29165633	0.78423402	0.99704831	0.09168047	0.03431398	0.0046818	0.4670195	0.00151393	2	5.4741185	0.04034312	0.01435401	0.33665767	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50176309	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010169	0.00104151	0.28912286	0.80162945	0.99643613	0.09253503	0.03465391	0.00453545	0.4727386	0.0015073	2	5.37361497	0.04051258	0.01327817	0.32829052	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50231547	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010172	0.00104309	0.29243098	0.79493749	0.99617409	0.09316991	0.03460256	0.00461189	0.4704423	0.00151083	2	5.38593272	0.04020978	0.01393616	0.32222501	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50328968	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010166	0.00103966	0.29086616	0.78921344	0.99657812	0.09219686	0.03450955	0.00459671	0.46982812	0.0015163	2	5.41262279	0.04035189	0.01393401	0.33073577	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50280736	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010174	0.00104285	0.29051197	0.7959841	0.99619535	0.09387172	0.03465243	0.00460868	0.47212387	0.00151016	2	5.35961687	0.04005561	0.01352139	0.32265557	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50240312	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010171	0.00104193	0.29302403	0.79250954	0.99628317	0.09228004	0.03455016	0.00460203	0.46942501	0.00151008	2	5.39940371	0.04026742	0.01417573	0.3269986	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.5016198	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00010169	0.00103947	0.29746538	0.79257164	0.99665895	0.09032629	0.03443402	0.00458678	0.46712323	0.0015078	2	5.4695592	0.04069941	0.01435988	0.3398691	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.255	0.9	0.4	0.29	0.50246815	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0001017	0.00104097	0.2937977	0.7901379	0.99642998	0.09156746	0.03448908	0.00460323	0.46811237	0.00150978	2	5.41817398	0.04028793	0.01450272	0.33039177	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
