OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.254	0.9	0.4	0.37	0.4879203	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020774	0.00471501	0.66627817	0.50147922	0.54211722	0.07965387	0.01083041	0.01544378	0.20408961	0.00103788	2	16.40970141	0.03039995	0.1681907	0.36690477	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48547951	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020534	0.00465339	0.68599163	0.46753268	0.54814681	0.07937501	0.01050365	0.01500415	0.21535335	0.00102426	2	16.69996375	0.02922886	0.16700078	0.37037547	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48591317	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020503	0.00465532	0.68429282	0.47018545	0.54833812	0.07936005	0.01046493	0.01515099	0.21414572	0.00102537	2	16.64851184	0.02936057	0.16706668	0.37065459	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48632017	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020182	0.0046508	0.69660817	0.45666425	0.55006911	0.0784206	0.01017384	0.01502148	0.21777202	0.00101456	2	16.78874512	0.02887923	0.16402934	0.37405771	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48662629	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0002034	0.00465983	0.69596996	0.45709764	0.55838298	0.07883535	0.01021123	0.01520568	0.21585771	0.0010226	2	16.77123666	0.02898529	0.16583566	0.37354723	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48868104	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020682	0.00479313	0.72615006	0.42097156	0.6016517	0.07827077	0.01019817	0.01479981	0.21767351	0.00104115	2	17.27316799	0.02769732	0.16417497	0.37812129	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48841382	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020424	0.00467315	0.7486613	0.40668905	0.5857649	0.07783623	0.01014997	0.01502649	0.21959527	0.00103383	2	17.82471883	0.02756028	0.1665105	0.38109784	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48876892	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020476	0.00470295	0.75495843	0.3991013	0.59427982	0.07767629	0.01013483	0.01491921	0.22019025	0.00103654	2	17.93903363	0.02726505	0.16597537	0.38208222	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48778528	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020235	0.00461121	0.74900346	0.40648574	0.57821583	0.07776212	0.01001758	0.01513415	0.22148397	0.0010267	2	17.75732499	0.02764491	0.16653926	0.38143415	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48774429	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020283	0.00461083	0.74712789	0.40908371	0.57744858	0.07791963	0.01006517	0.01517085	0.22071689	0.00102832	2	17.74354915	0.02773927	0.16712913	0.38086949	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48762831	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020214	0.00460336	0.75030855	0.40708474	0.57473927	0.0777919	0.01003232	0.01516986	0.22114305	0.00102534	2	17.84925332	0.02767261	0.16713112	0.3813792	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48731908	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0002068	0.00481279	0.67859132	0.47858685	0.54766618	0.07905693	0.0107876	0.0146702	0.21044322	0.00103141	2	16.72872089	0.02938243	0.16346947	0.36971013	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48618773	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020404	0.00464338	0.68079152	0.47480231	0.54378163	0.07937563	0.010401	0.01531973	0.21314189	0.00102336	2	16.5683846	0.02958562	0.16720917	0.37063656	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48604402	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020325	0.00457235	0.68028727	0.47600801	0.5427552	0.07948582	0.0102878	0.01566516	0.21300671	0.00102274	2	16.44492516	0.02987103	0.16875926	0.37087561	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48643815	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020176	0.00463953	0.70565911	0.4453326	0.55958239	0.07822282	0.01007884	0.01502794	0.21951135	0.0010164	2	16.88974538	0.02857553	0.16403721	0.3755932	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.37	0.48712015	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00020317	0.00466712	0.70756517	0.44329632	0.56899532	0.07846611	0.01010647	0.01513277	0.21777148	0.00102417	2	16.90656177	0.02857684	0.16494041	0.37576713	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
