OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.254	0.9	0.4	0.29	0.44549168	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052265	0.00396399	0.3453208	0.84419779	0.80820557	0.06905053	0.08962179	0.10073094	0.18540502	0.00557513	2	0.29407763	0.04124911	0.03895843	0.33191694	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44533845	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052149	0.00396865	0.34621867	0.84446652	0.80933297	0.06912302	0.08937022	0.10084887	0.18523196	0.00556858	2	0.29256384	0.04127447	0.03874341	0.33176459	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44532178	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0005212	0.00396489	0.34591976	0.84417819	0.80922288	0.06913	0.08935548	0.10065507	0.18512137	0.0055652	2	0.29212514	0.04123157	0.03879829	0.33194827	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44530662	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052078	0.00396504	0.34611944	0.84430117	0.80940251	0.06913969	0.0892917	0.10066171	0.18503876	0.00556327	2	0.29163277	0.04124091	0.03875654	0.33196625	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44557058	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052258	0.00396206	0.34458252	0.84394355	0.80780041	0.06901418	0.08973726	0.10070883	0.18531904	0.00558286	2	0.29338286	0.04121713	0.03898291	0.33160977	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44543394	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052117	0.00396504	0.34572587	0.84454154	0.80880076	0.06907558	0.08944806	0.10081001	0.18511107	0.00557133	2	0.29210387	0.04126644	0.03879066	0.33167284	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44543394	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052117	0.00396504	0.34572587	0.84454154	0.80880076	0.06907558	0.08944806	0.10081001	0.18511107	0.00557133	2	0.29210387	0.04126644	0.03879066	0.33167284	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44546363	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052029	0.00396112	0.34545205	0.84440484	0.8087605	0.06908473	0.08938175	0.1005872	0.1848095	0.00556814	2	0.29025369	0.04123623	0.03879318	0.33197332	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44511969	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052082	0.0039654	0.34669548	0.8438912	0.81032026	0.0692477	0.08913055	0.100565	0.1851464	0.00555839	2	0.29159464	0.04121135	0.03870875	0.33196	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.445595	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052034	0.0039633	0.34475854	0.84454261	0.80797068	0.06897878	0.08957082	0.10073107	0.18478544	0.00557603	2	0.29123185	0.04124116	0.03880926	0.3317359	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.445595	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052034	0.0039633	0.34475854	0.84454261	0.80797068	0.06897878	0.08957082	0.10073107	0.18478544	0.00557603	2	0.29123185	0.04124116	0.03880926	0.3317359	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44499215	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052158	0.00397198	0.34770596	0.84416641	0.81084693	0.06927492	0.08905579	0.10082721	0.18548944	0.00555404	2	0.29391539	0.04126436	0.03866393	0.3318672	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.4453277	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052136	0.00396943	0.34532731	0.84385147	0.80905956	0.06909209	0.08945225	0.10057484	0.18506443	0.00556596	2	0.29274235	0.0411915	0.03877676	0.33231765	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44511969	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052082	0.0039654	0.34669548	0.8438912	0.81032026	0.0692477	0.08913055	0.100565	0.1851464	0.00555839	2	0.29159464	0.04121135	0.03870875	0.33196	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44511969	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052082	0.0039654	0.34669548	0.8438912	0.81032026	0.0692477	0.08913055	0.100565	0.1851464	0.00555839	2	0.29159464	0.04121135	0.03870875	0.33196	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44539939	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052087	0.00396313	0.34562283	0.84425097	0.80894604	0.06910491	0.08938974	0.10063129	0.18499305	0.00556803	2	0.29130843	0.04123196	0.03880296	0.33191251	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44547569	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052269	0.00396263	0.34557412	0.8440649	0.80860977	0.06910934	0.08955751	0.10077156	0.18544383	0.00558001	2	0.29281211	0.04125567	0.03892229	0.33155154	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44530117	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052	0.00395889	0.34589905	0.84407868	0.8094485	0.06917065	0.08921198	0.10042904	0.18479975	0.00555986	2	0.28976413	0.04120156	0.0387823	0.3320822	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.254	0.9	0.4	0.29	0.44530117	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00052	0.00395889	0.34589905	0.84407868	0.8094485	0.06917065	0.08921198	0.10042904	0.18479975	0.00555986	2	0.28976413	0.04120156	0.0387823	0.3320822	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
