OBJ_Critical= 0.5 0.1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.233	0.9	0.4	0.29	0.56994303	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036639	0.00100008	0.74503844	0.16850081	0.87738311	0.04458536	0.24633628	0.00246495	0.37172998	0.00100087	2	1.94672912	0.00058331	0.04604556	0.15354923	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.5674282	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036059	0.00100017	0.70442957	0.17420856	0.90233817	0.0446494	0.24513089	0.00243656	0.38554655	0.0010013	2	2.02725731	0.00069797	0.04649343	0.15671539	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.56945013	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.000359	0.00100013	0.7005702	0.17612202	0.90331166	0.04469221	0.24352308	0.00243089	0.3841649	0.0010013	2	2.0274238	0.00058081	0.04628173	0.15590447	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.57015283	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036529	0.00100008	0.73584821	0.17141409	0.87878928	0.04450836	0.24587514	0.00243862	0.37386883	0.00100096	2	1.9458273	0.00055393	0.04610997	0.15270426	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.56843742	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036001	0.00100017	0.69668136	0.17722073	0.90753531	0.04468422	0.24428297	0.0024117	0.38692131	0.00100135	2	2.03868107	0.00061379	0.04656377	0.15530667	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.56771828	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.0003612	0.00100013	0.72501015	0.17064442	0.90065181	0.04476919	0.24322424	0.00248671	0.37666875	0.00100122	2	1.98950962	0.00057221	0.04633055	0.1579703	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.56849513	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00035986	0.00100016	0.69949593	0.17613146	0.90442809	0.04466639	0.24436276	0.00242248	0.3858483	0.00100132	2	2.03119677	0.0006331	0.04645445	0.15583249	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.233	0.9	0.4	0.29	0.56856817	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036141	0.00100015	0.71006971	0.17433942	0.90096306	0.04467752	0.24473076	0.00243459	0.38254282	0.00100124	2	2.01524903	0.00060511	0.04642874	0.15543176	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.234	0.9	0.4	0.29	0.56837155	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036818	0.00100005	0.77177081	0.1627373	0.87137401	0.04465853	0.2458656	0.00251064	0.36276616	0.00100079	2	1.89477704	0.00052417	0.04600089	0.15562113	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.234	0.9	0.4	0.29	0.56949059	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036887	0.00100005	0.76809802	0.16504413	0.86038226	0.04447786	0.24731132	0.00248407	0.36610693	0.00100075	2	1.90768286	0.00059226	0.04584054	0.15339371	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.234	0.9	0.4	0.29	0.56624344	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00037048	0.00100005	0.79506845	0.15721648	0.87199243	0.04486504	0.24609972	0.00256283	0.35621886	0.00100067	2	1.86917855	0.00053486	0.04613938	0.15768314	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.234	0.9	0.4	0.29	0.57046884	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00036621	0.00100006	0.74547469	0.16791103	0.87003782	0.04441315	0.2473522	0.00245081	0.37101163	0.00100089	2	1.92906806	0.00060965	0.04590154	0.15364529	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.234	0.9	0.4	0.29	0.56148276	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00037628	0.00100002	0.85118264	0.14059657	0.86525399	0.04501517	0.24743019	0.00271106	0.33867051	0.00100028	2	1.76631375	0.00063688	0.04631166	0.16331717	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.235	0.9	0.4	0.29	0.5434033	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00039099	0.00100003	0.95847471	0.10302898	0.90105816	0.04414768	0.25115197	0.00301604	0.30305077	0.00100132	2	1.46199753	0.00188089	0.04717426	0.18684684	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.235	0.9	0.4	0.29	0.55113518	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00039358	0.00100013	0.95883264	0.10249344	0.86044445	0.04287232	0.25674796	0.00281925	0.31044546	0.00100074	2	1.44948725	0.00248091	0.04573568	0.17934875	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.235	0.9	0.4	0.29	0.55344114	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00039663	0.00100008	0.95711663	0.10416822	0.85577926	0.0425899	0.25739694	0.00278747	0.31322881	0.00100028	2	1.45640225	0.00258626	0.04546365	0.17736713	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
0.235	0.9	0.4	0.29	0.55169659	40	65.4	5.697301	500	3.470584	7.048	0.00585975	0.00039418	0.00100014	0.95034773	0.10956228	0.86474165	0.04378472	0.25451404	0.00285304	0.31259002	0.00100009	2	1.4937536	0.00217254	0.04604484	0.17609745	1	0.00260572	0.001	0.001	0.00012593	0.10403423	0.09548061	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.005	0.05	0.5	1e-04	100	5e-06	0.001
